"filename", "language", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\css\admin.css", "PostCSS", 0, 514, 0, 2, 98, 614
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\css\cart.css", "PostCSS", 0, 335, 0, 1, 63, 399
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\css\inicioSesion.css", "PostCSS", 0, 181, 0, 1, 34, 216
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\css\menu.css", "PostCSS", 0, 464, 0, 13, 88, 565
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\css\orders.css", "PostCSS", 0, 318, 0, 1, 60, 379
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\css\register.css", "PostCSS", 0, 174, 0, 0, 31, 205
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\css\styles.css", "PostCSS", 0, 29, 0, 0, 0, 29
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\html\admin.html", "HTML", 148, 0, 0, 1, 16, 165
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\html\cart.html", "HTML", 100, 0, 0, 0, 12, 112
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\html\inicioSesion.html", "HTML", 54, 0, 0, 0, 8, 62
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\html\menu.html", "HTML", 100, 0, 0, 0, 13, 113
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\html\orders.html", "HTML", 53, 0, 0, 0, 7, 60
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\html\register.html", "HTML", 62, 0, 0, 0, 11, 73
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\index.html", "HTML", 20, 0, 0, 0, 0, 20
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\js\admin.js", "JavaScript", 0, 0, 1190, 38, 109, 1337
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\js\cart.js", "JavaScript", 0, 0, 202, 0, 7, 209
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\js\firebase.js", "JavaScript", 0, 0, 368, 23, 37, 428
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\js\inicioSesion.js", "JavaScript", 0, 0, 94, 8, 21, 123
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\js\menu.js", "JavaScript", 0, 0, 494, 29, 69, 592
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\js\orders.js", "JavaScript", 0, 0, 374, 10, 23, 407
"c:\Users\marlo\OneDrive\Desktop\Restaurante_Sabores-main\Restaurante_Sabores-main\js\register.js", "JavaScript", 0, 0, 68, 2, 16, 86
"Total", "-", 537, 2015, 2790, 129, 723, 6194
